number,title,medium,contact_info,legal_info,private,creation_date,size,series,description,percent_for_art,displayed
,"What We Hold Dear","bronze, concrete, and steel","outside International Living-Learning Center","From plaque that accompanies the piece: ""The artists asked dozens of INTO students what aspects of their culture they metaphorically 'carry' when they travel abroad. Their values and stories became the five bronze vessels, carried by concrete figures coming together from different directions. All poems by Ron Phares."" Another plaque is inside the building; it lists this same information along with transcriptions of the five poems on five of the ten figures. The piece consists of ten total figures, five that explain traditions and five that include poems about those traditions. The figures read as follows. China description figure: ""According to various legends, the moon is home to a woman who consumed an elixir of immortal life to preserve the well-being of her people. Observed when the moon is full, the Mid-Autumn Festival is a thanksgiving for well-being. Mooncakes are baked, exchanged, and eaten: tasty reminders of the harvest and causes for good company."" China poem figure: ""The immortal moon houses a human spirit a woman alone but shared with friends amidst falling leaves falling light remembers what it is to leave home to save home."" Japan description figure: ""Objects have esteem, but it remains fleeting. Artistry loosens the limits of the world. In a tradition where tremendous skill and care are employed to wrap a gift, the wrapping communicates as much as the gift itself."" Japan poem figure: ""The highest gift: attention in spite of impermanence. A gift of mindfulness and skill: my being and my practice honors both heritage and this precise moment, each so delicately bound to being. The contents are yours to keep, but the wrapping cloth, wrapped just so, that is yours to love and undo."" Indonesia description figure: ""Respecting elders keeps your boat floating. Putting fortune above family, a river boatman once rebuffed his concerned mother. Offense to a mother is an offense to the order of nature. The weather, angered, sunk the son's boat and turned it to stone."" Indonesia poem figure: ""Mother, I remember. No stone boat sailor, I have to quarrel with the weather with the nature of nature. The rock rising from the river reminds me where fortune is found; not upon the waves when there is not also your smile at my back."" Middle East description figure: Family and friends gather prior to a wedding to decorate the hands and feet of the bride with intricate patterns of paste that stain the skin. The skill, love, and patience creating the detailed designs are gifts and instructions: gifts of time and adoration before starting a new family: instructions on how to make the new family a happy one."" Middle East poem figure: ""Be still, my beloved. The ink has yet to dry. Be still, this brush can open time. There will be work enough in the days ahead. Now it is only for you to become so radiant as to craft a world. Let us remind you of home and incite your laughter, the origin of your beauty. Listen to these stories. Let us paint another hand."" United States of America description: ""The electric guitar recalls cultural history as well as a tradition of invention and innovation. Electricity, jazz, or rock and roll, all are powerful in their own right. Combined they shaped a century."" United States of America poem figure: ""It is paranormal, this translation of angels into electric impulse: a lightning rod, to pierce the soul with sonic waves' conversion. It is weather tectonics, big plates slipping under storms compressed by the superpowered hero of the age, able to build a wall of sound that tears down walls of history and heart, reactive and distorted, but honest and pure.""","Public",2013,,,,TRUE,
,"McAlexander Bust","bronze cast","stairwell",,"Public",1924,,,,FALSE,FALSE
,"Nye Beach","lithograph","first floor, room A147",,"Please contact Roger Admiral (roger.admiral@oregonstate.edu) to view this piece.",,,,,FALSE,FALSE
,"Pacific Tapestry","lithograph","first floor, room A147",,"Please contact Roger Admiral (roger.admiral@oregonstate.edu) to view this piece.",,,,,FALSE,FALSE
,"Arch Rock","lithograph","first floor, room A147",,"missing",,,,,FALSE,TRUE
112,"The Same But Different","linocut","fifth floor, right side upon walking into Special Collections and Archives Research area",,"Public",,,"part of The Valley Library's Northwest Art Collection, part of artist's The Wind River Prints series","Cunningham has said the pieces in the Wind River Prints series, “represent a visual narrative or storytale about our relationship to the river environment and our responsibility to protect it while we use and enjoy it.”",TRUE,FALSE
113,"Wild Future, Wet Hands","linocut","fifth floor, right side upon walking into Special Collections and Archives Research area",,"Public",,,"part of The Valley Library's Northwest Art Collection, part of artist's The Wind River Prints series","Cunningham has said the pieces in the Wind River Prints series, “represent a visual narrative or storytale about our relationship to the river environment and our responsibility to protect it while we use and enjoy it.”",TRUE,FALSE
114,"Trout Needs Trees","linocut","fifth floor, right side upon walking into Special Collections and Archives Research area",,"Public",,,"part of The Valley Library's Northwest Art Collection, part of artist's The Wind River Prints series","Cunningham has said the pieces in the Wind River Prints series, “represent a visual narrative or storytale about our relationship to the river environment and our responsibility to protect it while we use and enjoy it.”",TRUE,FALSE
,"exhibit",,"second floor, outside room 201K","From plaque that accompanies the piece: ""Artist and environmental educator, Wisconsin, North Temperate Lakes LTER, 2012. While attending the 2012 LTER All Scientists Meeting, I was captivated y the term 'dark data.' This term was new to me, and referred to all the information that has been collected, but may not be readily available to scientists and society. When scientists study a complex system, the task of including all the past and current data that might shed light on a research question seems daunting. My painting, of Lookout Creek in the Andrews Forest, is an attempt to illustrate the challenge of bringing dark data to the light. The stream course had been disrupted by earth movements, so recently dead trees are present in the flowing water. The color portions of the painting represent areas where researchers are studying an aspect of the ecosystem, but their work does not connect. A second painting in full color represents a world where collaboration connects many fields of study, thus giving the most color and value to the work. I have also thought that to many people, most science is 'dark data' and the job of science educators is to help illuminate the data and make it meaningful to citizens. Then, perhaps, we can make choices that protect both ecosystems and human cultures.""","Public",,,,,FALSE,FALSE
,"Benny Beaver","redwood carving","MU Commons",,"Public",1966,,,,FALSE,FALSE
,"Opposite and Equal, Gold Will Stay (2 pieces)","3D motion lenticular","first floor, vestibule and stairway wall at 30th Street entrance","From plaque that accompanies the piece: ""'Gold Will Stay' (stairway wall) and 'Opposite and Equal' (vestibule) celebrate the life and achievements of Nobel Award-winning scientist Linus Pauling. Pauling's contributions to the understanding of molecular structures and his anti-war activism were pivotal accomplishments of the 20th century. Using imagery to portray the unseen complexity of the invisible atomic world in a living and organic way was a key consideration in the pieces. Tree-like 'ball and stick' configurations undulate and move as the viewer walks by. Large helix-like shapes dominate interior landscapes. Color was used to evoke a sense of peacefulness, and a general sense of order is pulled from complexity. A lantern-shaped paper ball based on Pauling's molecular models floats in 'Opposite and Equal.' This ball is also the unfolded version of a Japanese oragami swan, a peace symbol paying tribute to Pauling's peace activism. These works utilize lenticular optics to create an illusion of depth and movement as viewers engage the pieces. This opens a window into a space quite apart from the surrounding environment. There is a sense that objects both recede into the wall and project out from it in a way that lets you look around and behind individual elements."" ","Public",,,,,TRUE,FALSE
,"Play Ball","collaged images","outside Goss Stadium",,,,,,,TRUE,FALSE
,"Turning Two","bronze sculpture","outside Goss Stadium",,,,,,,TRUE,FALSE
,"A Walk Around the World","ceramic art","outside Marketplace West Dining Center",,,,,,,TRUE,FALSE
121,"Fence 36-323","mixed media","second floor, near reference desk",,"Public",,,"part of The Valley Library's Northwest Art Collection",,TRUE,FALSE
,"Pomp and Circumstance","willow and alder","outside Gilkey Hall in People's Park","This piece was commissioned by the College of Liberal Arts and its dean, Larry Rodgers, in 2012. Rodgers was familiar with the artist's work after seeing it at his previous institution, Kansas State University. The Corvallis Gazette-Times ran an article on the piece upon its installation, which you can read here: http://www.gazettetimes.com/news/local/stick-sculpture-grows-to-become-a-part-of-campus/article_296d4924-a9e7-11e1-9d40-001a4bcf887a.html.""",,,,,,FALSE,FALSE
10,"Station to Station","mixed media sculpture","first floor, near Java II",,"Public",,,"part of The Valley Library's Northwest Art Collection",,TRUE,FALSE
,"Water Lab",,"third floor, room 319 (locked conference room)",,"Please contact Roger Admiral (roger.admiral@oregonstate.edu) or Sandie Arbogast (sandra.arbogast@oregonstate.edu) to view this piece.",,,,,FALSE,FALSE
,"Grey Squirrels on Snag",,"third floor, room 319 (locked conference room)",,"Please contact Roger Admiral (roger.admiral@oregonstate.edu) or Sandie Arbogast (sandra.arbogast@oregonstate.edu) to view this piece.",,,,,FALSE,FALSE
,"Portugese Fishing Boats","color etching","MU Pangea",,"Public",1960,,,,FALSE,FALSE
,"Fractals and Trees","sculpture","first floor, near entrance by Milam","Quote from Oregon Arts Commission on the piece: ""A colorful, collaged mural that vertically repeats a simple square, geometric pattern.""","Public",,,,,TRUE,FALSE
,"It's the Wave Not the Water","reflector sculpture","outside, attached to Hinsdale Wave Research Lab",,,,,,,TRUE,FALSE
,"WWI bronze tablet","bronze relief","first floor, main concourse",,"Public",1928,,,,FALSE,FALSE
,"Oregon Foliage of Forest Ecosystem","linen tapestry","first floor, by entrance to building with wooden murals",,"Public",1999,,,,TRUE,FALSE
,"untitled",,"basement, main computing facility",,"Public",,,,,FALSE,FALSE
,"Nets Drying","color woodcut","MU Pangea",,"Public",1957,,,,FALSE,FALSE
,"Still Life","color lithograph","first floor, Joyce Goudy Powell Leadership Center, Journey Room",,"Public",,,,,FALSE,FALSE
21,"Pink Hat","oil on birch","second floor, near computer help desk",,"Public",,,"part of The Valley Library's Northwest Art Collection",,TRUE,FALSE
,"Still Life with Apples","pastel","sixth floor, west side",,"Please contact Kelly Anderton (Kelly.Anderton@oregonstate.edu or 541-737-2111) to make an appointment to view this piece.",1991,,"Provost's Purchase Award",,FALSE,FALSE
,"Whirl #7","encaustic on wood","second floor, in administration offices",,"Public",,"12"" x 12""",,,TRUE,FALSE
,"Whirl #3","encaustic on wood",,,"missing",,"12"" x 12""",,,TRUE,TRUE
,"Whirl #6","encaustic on wood",,,"missing",,"12"" x 12""",,,TRUE,TRUE
,"Baroque Phase","color lithograph","first floor, Joyce Goudy Powell Leadership Center, Talisman Room",,"Public",,,,,FALSE,FALSE
60,"Ruby Wind","acrylic on wood","third floor, west side, on wall housing first set of lockers",,"Public",,,"part of The Valley Library's Northwest Art Collection","This piece is part of a series that focuses on storms’ interactions with flat land and water. On the series, French said, “Using weather imagery allowed me to explore a wide range of conflicting emotions and meanings to describe worlds of impending dangers, harsh beauty, and safe havens...I was not interested in describing a particular place or time but rather in creating a world where fiction can portray truth.”",TRUE,FALSE
